"","Motif_ID","ORI_Random1","ORI_Random2","ORI_Random3","ORI_Random4","ORI_Random5","ORI_Random6","ORI_Random7","ORI_Random8","ORI_Random9","ORI_Random10","ORI_Random11","ORI_Random12","ORI_Random13","ORI_Random14","ORI_Random15","ORI_Random16","ORI_Random17","ORI_Random18","ORI_Random19","ORI_Random20","ORI_Random21","ORI_Random22","ORI_Random23","ORI_Random24","ORI_Random25","NumRefGene","PctRefGene","NumRandomGene","PctRandomGene","ORI_ave","ORI_SD","TF_Name","ENSEMBLE_ID","TF_ID","TF_Species","Family_Name","Family_ID","width","p_ttest","padj"
"M02685_2.00","M02685_2.00",1.54,1.59,2.2,1.23,1.5,1.67,1.16,1.56,1.25,1.45,1.16,2.53,1.9,1.4,1.24,1.22,1.1,1.08,2.15,1.69,1.16,1.27,2.54,2.68,2.64,58,44.03,48.48,36.9256,1.6364,0.511866232525647,"PBX1","ENSG00000185630","T209930_2.00","Homo_sapiens","Homeodomain","F223_2.00",12,0.000168417676965561,0.00370518889324234
"M03336_2.00","M03336_2.00",0.93,3.92,3.88,3.79,3.95,3.88,3.9,0.97,3.86,3.81,3.93,3.72,3.84,3.89,3.9,3.82,3.89,3.9,3.87,0.94,0.96,3.75,3.83,3.69,3.88,1,1.49,0.16,0.8684,3.388,1.06581799571972,"IRF8","ENSG00000140968","T244082_2.00","Homo_sapiens","IRF","F243_2.00",14,2.19912962712202e-10,4.83808517966845e-09
"M03337_2.00","M03337_2.00",5.69,10.38,6.34,2.89,6.49,4.57,8.68,13.8,10.22,7.82,5.61,7.04,21.93,4.36,7.38,5.82,4.86,5.54,4.84,4.43,12.29,9.1,4,18.44,19.4,31,23.88,12,9.702,8.4768,4.97822194764356,"IRF7","ENSG00000185507","T244084_2.00","Homo_sapiens","IRF","F243_2.00",14,1.05814648976758e-07,2.32792227748867e-06
"M02669_2.00","M02669_2.00",0.91,1.37,0.69,1.11,0.35,0.22,0.95,0.53,0.69,0.41,0.95,0.21,1.34,0.54,0.26,0.68,0.69,0.15,3.76,0.52,2.1,1.31,0.28,0.32,0.34,4,3.73,6.76,5.7904,0.8272,0.75360743096124,"Znf423","ENSRNOG00000014658","T109003_2.00","Rattus_norvegicus","C2H2 ZF","F135_2.00",15,0.988359869203999,1
"M02688_2.00","M02688_2.00",0.96,0.89,0.98,0.96,0.95,0.98,0.99,1,0.92,1,0.93,0.97,0.96,1.01,1.03,1.02,0.97,0.95,0.95,0.99,0.97,0.94,0.97,1.06,0.98,131,98.51,129.56,97.4312,0.9732,0.0354084735621292,"Nobox","ENSMUSG00000029736","T212459_2.00","Mus_musculus","Homeodomain","F223_2.00",8,1,1
"M02680_2.00","M02680_2.00",1.41,0.83,1.13,1.41,1.12,0.88,1.41,1.05,1.17,1.35,1.24,1.04,1.09,1.04,1.38,1.47,1,1.11,1.24,0.83,1.32,0.91,0.95,1.15,1.57,65,49.25,62.48,47.372,1.164,0.205290038725701,"FOXF2","ENSG00000137273","T185773_2.00","Homo_sapiens","Forkhead","F196_2.00",14,0.800605590776028,1
"M03331_2.00","M03331_2.00",18.68,19.62,19.42,18.97,19.76,19.42,19.52,19.4,19.32,4.77,4.91,18.58,19.19,19.44,19.49,19.09,19.43,19.49,4.84,18.84,4.8,4.69,4.79,18.44,4.85,3,2.99,0.28,0.9572,15.19,6.48245694162329,"IRF3","ENSG00000126456","T244079_2.00","Homo_sapiens","IRF","F243_2.00",21,8.19349692886342e-11,1.80256932434995e-09
"M03333_2.00","M03333_2.00",1.67,2.17,1.94,1.67,2.46,1.65,2.69,2.04,2.99,2.04,1.96,2.21,2.77,3.29,2.15,2.14,2.64,2.86,1.98,3.3,2.31,1.9,1.8,2.36,2.18,72,54.48,48.76,37.1348,2.2868,0.468185604221232,"IRF5","ENSG00000128604","T244080_2.00","Homo_sapiens","IRF","F243_2.00",11,1.88563713533841e-11,4.1484016977445e-10
"M03334_2.00","M03334_2.00",3.74,3.92,3.88,3.79,3.95,3.88,3.9,0.97,3.86,3.81,3.93,3.72,3.84,3.89,3.9,3.82,3.89,3.9,3.87,3.77,0.96,3.75,3.83,3.69,3.88,1,1.49,0.08,0.8092,3.6136,0.783892237491863,"IRF4","ENSG00000137265","T244081_2.00","Homo_sapiens","IRF","F243_2.00",15,4.80698929356686e-14,1.05753764458471e-12
"M02691_2.00","M02691_2.00",13.08,6.1,13.6,5.9,3.46,13.6,3.42,13.58,13.53,53.4,13.75,5.78,13.43,13.61,6.06,53.45,6.05,54.57,13.55,3.3,3.36,52.56,13.4,51.63,54.33,6,5.22,1.28,1.7024,19.94,19.1594619966219,"IRF2","ENSG00000168310","T244083_2.00","Homo_sapiens","IRF","F243_2.00",18,3.52620297185998e-05,0.000775764653809195
