"","Motif_ID","ORI_Random1","ORI_Random2","ORI_Random3","ORI_Random4","ORI_Random5","ORI_Random6","ORI_Random7","ORI_Random8","ORI_Random9","ORI_Random10","ORI_Random11","ORI_Random12","ORI_Random13","ORI_Random14","ORI_Random15","ORI_Random16","ORI_Random17","ORI_Random18","ORI_Random19","ORI_Random20","ORI_Random21","ORI_Random22","ORI_Random23","ORI_Random24","ORI_Random25","NumRefGene","PctRefGene","NumRandomGene","PctRandomGene","ORI_ave","ORI_SD","TF_Name","ENSEMBLE_ID","TF_ID","TF_Species","Family_Name","Family_ID","width","p_ttest","padj","CombinedScore","Rank"
"M05549_2.00","M05549_2.00",7.45,31.55,19.96,9.69,5.13,66.88,19.99,11.15,33.14,23.07,19.18,20.08,20.54,15,20.13,10.67,7.43,10.49,16.42,39.45,7.26,13.29,9.51,45.18,45.58,36,27.61,9.08,7.5236,21.1288,14.7009483558034,"IRF9","ENSG00000213928","T244085_2.00","Homo_sapiens","IRF","F243_2.00",15,3.60051894927674e-07,0.00112192170459463,583.366168,1
"M05539_2.00","M05539_2.00",8.25,12.58,11.46,6.83,5.29,10.02,14.19,5.29,6.49,15.67,11.21,7.27,15.7,10.96,12.38,3.81,5.52,3.78,10.23,20.02,6.52,8.87,4.85,8.64,26.16,45,34.33,15.64,12.4176,10.0796,5.20215684500189,"IRF4","ENSG00000137265","T244081_2.00","Homo_sapiens","IRF","F243_2.00",15,7.1442968083405e-09,2.2261628854789e-05,346.032668,2
"M03337_2.00","M03337_2.00",4.64,4.27,7.8,5.1,2.97,7.44,8.46,4.74,24.93,7.39,16.23,13.59,12.51,5.91,6.74,9.48,4.91,3.08,3.81,6.85,10.15,12.09,16.69,8.49,34.28,31,23.88,11.68,9.4628,9.702,7.07821615945713,"IRF7","ENSG00000185507","T244084_2.00","Homo_sapiens","IRF","F243_2.00",14,2.26522438352623e-06,0.00705843917906773,231.68376,3
"M08230_2.00","M08230_2.00",4.22,7.59,3.8,2.81,3.6,4.09,3.78,3.59,4.2,4.7,6.3,4.1,6.36,3.77,4.94,3.96,2.85,5.81,2.97,3.47,4.11,3.86,5.02,4.19,3.88,69,52.24,36.8,28.2088,4.3188,1.12493669155202,"STAT1","ENSG00000115415","T337444_2.00","Homo_sapiens","STAT","F308_2.00",10,4.62016281064871e-13,1.43964273179814e-09,225.614112,4
"M09242_2.00","M09242_2.00",2.77,3.15,3.95,2.54,2.77,3.75,5.58,4.84,2.72,4.71,3.11,2.88,5.24,4.59,4.04,2.87,2.82,2.72,1.62,5.29,5.33,3.49,2.97,3.85,3.12,74,55.97,41.96,32.0584,3.6288,1.0450160572929,"Irf1","ENSMUSG00000018899","T244218_2.00","Mus_musculus","IRF","F243_2.00",20,1.83867276057058e-11,5.72930432193794e-08,203.103936,5
"M09594_2.00","M09594_2.00",5.33,3.35,3.83,2.3,3.23,4.76,2.99,4.52,3.91,3.73,3.11,3.49,3.99,3.34,3.21,2.87,2.94,3.35,2.44,4.17,3.56,4.43,2.28,3.95,3.89,72,54.48,43.24,33.0148,3.5588,0.735795188894301,"IRF1","ENSG00000125347","T244078_2.00","Homo_sapiens","IRF","F243_2.00",12,1.98833225099432e-14,6.1956432940983e-11,193.883424,6
"M08019_2.00","M08019_2.00",2.22,2.37,2.43,2.13,3.05,3.76,2.63,2.14,5.5,2.89,3.55,2.5,3.85,3.02,2.36,2.54,2.78,2.65,2.59,2.51,4.05,2.5,2.22,3.54,2.35,86,64.93,58.12,44.1184,2.8852,0.764905850415592,"STAT2","ENSG00000170581","T337449_2.00","Homo_sapiens","STAT","F308_2.00",15,5.42342393903915e-11,1.6899388994046e-07,187.336036,7
"M09245_2.00","M09245_2.00",2.89,3.74,3.09,2.52,2.73,3.64,4.17,4.71,2.82,5.02,2.23,2.5,4.18,4.16,5.21,2.54,3.04,2.95,1.39,4.09,5.25,3.5,3.3,5.5,3.02,67,50.75,37.84,28.9852,3.5276,1.03617095114658,"Irf2","ENSMUSG00000031627","T244223_2.00","Mus_musculus","IRF","F243_2.00",20,3.6694701391474e-11,1.14340689535833e-07,179.0257,8
"M05548_2.00","M05548_2.00",2.66,2.45,2.3,2.05,2.37,2.94,3.13,2.68,2.56,2.85,2.19,2.91,2.67,2.15,2.94,2.03,1.83,2.23,1.91,2.26,2.85,2.5,2.78,2.68,3.15,93,70.15,66.52,50.3884,2.5228,0.370777777111844,"IRF7","ENSG00000185507","T244084_2.00","Homo_sapiens","IRF","F243_2.00",15,1.86254031434958e-15,5.8036756195133e-12,176.97442,9
"M05538_2.00","M05538_2.00",3.91,4.29,8.65,2.41,2.73,3.65,4.52,3.3,3.38,6.96,5.54,2.49,5.08,4.58,5.6,3.18,1.76,2.71,11.71,6.25,2.49,5.43,2.25,3.86,17.4,41,31.34,20.28,15.8816,4.9652,3.34745649112875,"IRF5","ENSG00000128604","T244080_2.00","Homo_sapiens","IRF","F243_2.00",14,5.74355673103562e-06,0.017896922773907,155.609368,10
